Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.876;;7,2;32,3;54,8;5,1;0,6;31,6
Andorra;AD;72;0,2;1,6;98,2;;;;23,8
Austria;AT;8.700;5,1;74,2;20,7;;;;16,7
Belgium;BE;11.311;;50,3;49,7;;;;19,7
Bosnia and Herzegovina;BA;3.516;;13,6;22,8;36,9;16,0;10,8;35,1
Bulgaria;BG;7.154;0,0;9,7;22,7;48,3;17,4;1,8;33,2
Croatia;HR;4.191;0,1;16,7;47,2;36,0;0,0;0,0;26,3
Cyprus;CY;1.184;;1,0;15,6;56,3;27,2;;36,6
Czechia;CZ;10.554;0,1;29,6;63,7;6,6;;;21,9
Denmark (incl. Faroe Islands);DK;5.707;0,2;99,8;;;;;15,1
Estonia;EE;1.316;26,9;73,1;;;;;11,2
Finland;FI;5.487;66,8;33,2;;;;;9,4
France (metropolitan);FR;64.561;2,2;79,7;18,1;0,0;;;16,8
Germany;DE;82.176;0,3;94,8;4,9;;;;16,5
Greece;GR;10.784;;8,0;42,7;42,0;6,6;0,7;29,3
Hungary;HU;9.830;;3,5;94,2;2,2;;;24,7
Iceland;IS;333;47,1;52,9;;;;;9,1
Ireland;IE;4.726;27,7;72,3;;;;;11,7
Italy;IT;60.666;0,3;18,7;60,2;17,4;3,4;;25,2
Latvia;LV;1.969;7,4;73,9;18,7;;;;15,8
Liechtenstein;LI;38;1,8;98,2;;;;;13,7
Lithuania;LT;2.889;;68,9;31,1;;;;17,6
Luxembourg;LU;576;;100;;;;;16,9
Malta;MT;450;;;100;;;;29,5
Monaco;MC;38;;;100;;;;21,9
Montenegro;ME;622;;19,2;33,5;44,1;3,1;;27,0
Netherlands;NL;16.979;;99,4;0,6;;;;17,9
North Macedonia;MK;2.071;;2,4;11,1;47,4;12,1;26,9;42,4
Norway;NO;5.211;45,0;55,0;;;;;10,5
Poland;PL;37.967;;9,9;53,7;36,4;;;27,6
Portugal (excl. Azores, Madeira);PT;9.839;0,5;81,8;17,7;;;;17,5
Romania;RO;19.760;0,0;19,2;58,1;22,6;;;24,7
San Marino;SM;33;;15,9;84,1;;;;21,0
Serbia (incl. Kosovo*);RS;8.848;;6,2;21,9;49,8;22,2;0,0;33,8
Slovakia;SK;5.426;;13,8;84,3;1,9;;;23,4
Slovenia;SI;2.064;0,0;32,4;67,6;;;;22,3
Spain (excl. Canarias);ES;44.305;0,6;49,8;48,0;0,9;0,6;0,1;20,2
Sweden;SE;9.851;28,7;71,3;;;;;11,1
Switzerland;CH;8.327;6,9;92,5;0,6;;;;15,0
Turkey;TR;78.741;2,0;16,7;9,9;11,5;36,7;23,2;39,6
United Kingdom (& Crown dep.);UK;65.383;2,3;97,6;0,0;;;;15,5
Total;;616.531;2,7;52,9;26,2;9,5;5,6;3,0;22,5
Total without Turkey;;537.790;2,8;57,9;28,4;9,3;1,4;0,2;20,2
EU-28;;505.806;2,4;59,2;29,3;8,1;0,9;0,1;19,9
Kosovo*;KS;1.772;;6,3;17,3;49,4;27;0;34,7
Serbia (excl. Kosovo*);RS;7.076;;6,1;23,0;49,9;21,0;;33,5
