Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.797;0,0;9,1;59,7;30,6;0,6;;27,2
Andorra;AD;84;0,3;21,4;78,3;;;;23,1
Austria;AT;8.381;5,7;86,1;8,3;;;;16,1
Belgium;BE;10.944;0,0;72,6;27,4;;;;18,5
Bosnia and Herzegovina;BA;3.802;0,0;18,4;38,4;25,4;10,8;7,0;29,8
Bulgaria;BG;7.363;0,0;13,3;56,7;24,0;5,9;;27,2
Croatia;HR;4.288;0,1;39,8;57,7;2,4;;;21,1
Cyprus;CY;1.018;;14,0;77,5;4,4;4,2;;26,3
Czechia;CZ;10.423;0,1;64,3;34,9;0,7;;;19,3
Denmark (incl. Faroe Islands);DK;5.577;0,2;97,5;2,3;;;;16,2
Estonia;EE;1.291;35,0;65,0;0,0;;;;11,1
Finland;FI;5.339;60,6;39,4;0,0;;;;9,2
France (metropolitan);FR;62.744;1,5;88,5;9,8;0,2;;;16,1
Germany;DE;80.174;0,7;97,4;1,9;;;;15,3
Greece;GR;10.634;0,0;19,9;55,5;23,0;1,6;0,0;25,3
Hungary;HU;9.937;;23,7;75,6;0,7;;;21,9
Iceland;IS;318;72,7;27,3;;;;;8,9
Ireland;IE;4.574;15,9;84,1;0,0;;;;12,4
Italy;IT;59.409;0,5;24,1;65,3;10,1;;;23,3
Latvia;LV;2.080;1,3;65,5;32,1;1,1;;;17,6
Liechtenstein;LI;34;7,5;92,5;;;;;12,0
Lithuania;LT;3.028;;50,5;47,9;1,6;;;19,4
Luxembourg;LU;511;0,0;100,0;;;;;14,9
Malta;MT;417;;0,2;89,6;10,2;;;27,9
Monaco;MC;33;;;100,0;;;;22,2
Montenegro;ME;620;0,1;18,6;57,6;23,7;;;24,7
Netherlands;NL;16.600;;96,6;3,4;;;;18,1
North Macedonia;MK;2.061;;3,0;60,1;13,3;21,0;;31,3
Norway;NO;4.906;48,7;51,3;0,0;;;;10,0
Poland;PL;38.494;0,0;16,2;65,5;17,3;1,0;;25,1
Portugal (excl. Azores, Madeira);PT;10.047;1,6;81,6;16,7;0,0;0,0;;17,3
Romania;RO;20.138;0,1;37,2;56,1;6,7;;;22,2
San Marino;SM;32;;12,3;87,7;;;;21,9
Serbia (incl. Kosovo*);RS;8.896;0,0;5,7;42,3;51,0;0,3;0,7;29,3
Slovakia;SK;5.399;0,0;53,3;46,5;0,2;;;20,5
Slovenia;SI;2.042;0,3;65,9;33,8;;;;18,8
Spain (excl. Canarias);ES;44.722;1,1;59,5;36,9;1,5;0,7;0,2;19,3
Sweden;SE;9.539;43,3;56,1;0,6;;;;10,9
Switzerland;CH;7.893;9,7;89,6;0,7;;;;13,2
Turkey;TR;71.920;0,9;13,8;14,3;24,8;28,1;18,1;37,3
United Kingdom (& Crown dep.);UK;63.415;2,5;95,0;2,5;;;;15,0
Total;;601.926;2,9;57,9;26,0;7,3;3,7;2,2;21,0
Total without Turkey;;530.007;3,1;63,9;27,6;4,9;0,4;0,1;18,7
EU-28;;498.253;2,6;65,6;27,6;3,9;0,3;0,0;18,5
Kosovo*;KS;1.748;0,0;6,2;56,4;37,4;0,0;;27,7
Serbia (excl. Kosovo*);RS;7.148;0,0;5,6;38,8;54,3;0,4;0,9;29,7
