Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.896;11,2;88,8;;;;;14,2
Andorra;AD;73;1,8;98,2;;;;;15,4
Austria;AT;8.507;11,7;46,2;42,1;;;;18,1
Belgium;BE;11.204;1,3;38,5;52,0;8,3;;;21,3
Bosnia and Herzegovina;BA;3.831;18,3;41,3;40,4;;;;17,0
Bulgaria;BG;7.246;9,5;64,9;25,6;;;;16,4
Croatia;HR;4.247;16,1;61,2;22,7;;;;16,4
Cyprus;CY;858;65,9;34,1;;;;;9,2
Czechia;CZ;10.512;9,5;77,1;13,4;;;;16,9
Denmark (incl. Faroe Islands);DK;5.627;25,7;74,3;;;;;11,9
Estonia;EE;1.316;31,0;69,0;;;;;10,2
Finland;FI;5.451;56,7;43,3;;;;;9,0
France (metropolitan);FR;63.989;19,4;53,2;19,3;8,1;;;17,2
Germany;DE;80.767;3,1;42,1;53,2;1,6;;;20,1
Greece;GR;10.927;26,5;50,1;10,7;12,6;;;15,0
Hungary;HU;9.877;7,2;69,9;15,9;7,0;;;17,3
Iceland;IS;326;13,2;86,2;0,7;;;;13,7
Ireland;IE;4.606;58,1;41,9;;;;;8,6
Italy;IT;60.783;5,1;35,4;42,9;13,0;1,9;1,7;22,7
Latvia;LV;2.001;28,2;53,3;18,6;;;;12,5
Liechtenstein;LI;37;3,9;11,9;84,3;;;;19,3
Lithuania;LT;2.943;30,4;69,6;;;;;11,4
Luxembourg;LU;550;3,0;33,0;64,0;;;;19,5
Malta;MT;2066;2,3;83,6;14,1;;;;17,0
Monaco;MC;425;3,2;96,8;;;;;12,8
Montenegro;ME;38;;;100,0;;;;21,3
Netherlands;NL;622;16,9;83,1;;;;;15,8
North Macedonia;MK;16.829;0,2;36,7;60,1;3,1;;;21,6
Norway;NO;5.108;31,7;46,4;21,9;;;;13,7
Poland;PL;38.018;16,5;66,6;16,9;;;;15,2
Portugal (excl. Azores, Madeira);PT;9.922;29,3;57,6;13,1;;;;12,8
Romania;RO;19.947;13,7;68,6;11,8;5,9;;;16,7
San Marino;SM;33;4,0;96,0;;;;;16,5
Serbia (incl. Kosovo*);RS;7.147;10,6;41,9;40,7;6,9;;;19,8
Slovakia;SK;5.416;7,8;92,2;;;;;15,2
Slovenia;SI;2.061;15,9;50,6;33,5;;;;16,4
Spain (excl. Canarias);ES;44.397;8,5;59,1;21,1;8,2;3,1;;18,9
Sweden;SE;9.645;31,9;68,1;;;;;10,8
Switzerland;CH;8.140;4,8;35,9;59,3;;;;20,2
United Kingdom (& Crown dep.);UK;64.351;5,7;25,9;55,0;10,1;3,2;;23,0
Total without Turkey;;532.738;11,7;49,0;32,8;5,6;0,9;0,2;18,6
EU-28;;502.424;11,5;49,0;32,6;5,8;0,9;0,2;18,7
Kosovo*;KS;1.821;10.1;83.3;6.6;8,5;;;16.5
Serbia (excl. Kosovo*);RS;7.147;10.7;31.8;49.0;;;;20.6
