Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.876;30,7;52,8;13,9;2,6;;;13,7
Andorra;AD;72;1,0;3,9;94,6;0,1;0,4;;18,2
Austria;AT;8.700;12,6;49,2;26,3;10,0;1,3;0,5;18,9
Belgium;BE;11.311;1,8;45,9;39,2;12,0;1,0;0,1;21,7
Bosnia and Herzegovina;BA;3.516;30,6;60,5;8,2;0,7;;;13,2
Bulgaria;BG;7.154;12,6;46,6;38,1;2,7;;;18,8
Croatia;HR;4.191;27,1;50,0;21,8;1,1;;;15,2
Cyprus;CY;1.184;13,4;7,9;67,2;9,2;2,5;;24,0
Czechia;CZ;10.554;15,8;68,7;13,6;1,8;0,1;;15,2
Denmark (incl. Faroe Islands);DK;5.707;63,6;26,0;9,4;1,0;0,1;;10,4
Estonia;EE;1.316;66,5;30,0;3,4;;;;7,8
Finland;FI;5.487;65,4;32,0;2,6;;;;8,0
France (metropolitan);FR;64.561;28,1;42,6;18,1;5,9;2,1;3,1;17,3
Germany;DE;82.176;5,4;47,5;39,7;4,8;1,3;1,3;20,2
Greece;GR;10.784;24,0;36,8;16,6;15,1;5,2;2,3;19,6
Hungary;HU;9.830;13,2;64,9;18,2;3,3;0,4;;16,6
Iceland;IS;333;44,1;54,0;1,8;;;;10,1
Ireland;IE;4.726;49,0;40,0;9,2;1,8;;;11,0
Italy;IT;60.666;7,3;37,6;38,0;11,9;2,8;2,3;22,1
Latvia;LV;1.969;44,3;36,8;18,4;0,5;;;12,0
Liechtenstein;LI;38;1,3;85,3;12,1;1,3;;;17,8
Lithuania;LT;2.889;39,8;53,8;4,9;1,5;;;11,7
Luxembourg;LU;576;4,8;40,0;47,6;7,6;;;20,7
Malta;MT;450;11,6;78,2;5,6;5;;;14,9
Monaco;MC;38;;;78;22;;;26,8
Montenegro;ME;622;30,3;65,4;4,3;0,0;;;11,9
Netherlands;NL;16.979;0,6;49,2;45,0;4,9;0,3;;20,5
North Macedonia;MK;2.071;7,5;64,7;25,5;2,4;;;17,4
Norway;NO;5.211;42,4;41,6;13,5;1,9;0,6;;12,4
Poland;PL;37.967;23,1;55,4;19,8;1,3;0,4;0,1;15,2
Portugal (excl. Azores, Madeira);PT;9.839;25,9;49,3;21,6;3,1;0,1;;15,3
Romania;RO;19.760;18,2;49,7;23,7;7,2;0,4;0,7;17,6
San Marino;SM;33;4,7;90,8;;5;;;16,3
Serbia (incl. Kosovo*);RS;8.848;16,2;45,5;29,6;8,6;0,2;;18,4
Slovakia;SK;5.426;18,6;74,7;5,4;1,3;;;13,5
Slovenia;SI;2.064;24,9;53,7;20,3;1,2;;;15,4
Spain (excl. Canarias);ES;44.305;14,5;43,4;25,1;11,2;3,8;1,9;20,0
Sweden;SE;9.851;43,5;51,0;4,6;0,9;;;10,7
Switzerland;CH;8.327;5,2;51,4;37,1;4,8;1,3;0,1;19,7
Turkey;TR;78.741;24,4;9,6;20,1;22,9;9,7;13,4;26,9
United Kingdom (& Crown dep.);UK;65.383;6,8;35,5;43,8;10,9;1,2;1,8;21,8
Total;;616.531;17,2;41,0;27,9;8,7;2,4;2,7;19,6
Total without Turkey;;537.790;16,2;45,3;29,0;6,8;1,5;1,3;18,6
EU-28;;505.806;15,9;45,0;29,3;7,0;1,5;1,4;18,7
Kosovo*;KS;1.772;21,0;68,0;11,0;0,0;0,0;0,0;14,4
Serbia (excl. Kosovo*);RS;7.076;15;40,0;34,1;10,7;0,3;0,0;19,4
