Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.
Albania;AL;2.876;;0,4;14,9;17,2;30,1;37,4;22,3
Andorra;AD;72;;1,8;98,2;;;;12,1
Austria;AT;8.700;0,6;18,7;76,6;4,1;;;12,0
Belgium;BE;11.311;;4,9;86,8;8,3;;;12,7
Bosnia and Herzegovina;BA;3.516;;2,6;15,5;10,5;11,6;59,8;28,7
Bulgaria;BG;7.154;;6,9;7,8;17,8;34,5;33,0;22,3
Croatia;HR;4.191;;6,3;24,1;23,4;24,0;22,2;19,4
Cyprus;CY;1.184;;;100,0;;;;13,7
Czechia;CZ;10.554;;1,1;23,2;63,2;9,7;2,8;16,6
Denmark (incl. Faroe Islands);DK;5.707;0,8;81,0;18,3;;;;9,2
Estonia;EE;1.316;13,3;86,7;;;;;5,9
Finland;FI;5.487;49,4;50,6;;;;;5,1
France (metropolitan);FR;64.561;0,3;33,0;66,7;;;;10,9
Germany;DE;82.176;0,0;9,5;86,7;3,7;;;11,6
Greece;GR;10.784;;1,2;17,8;39,6;25,5;15,9;19,6
Hungary;HU;9.830;;;13,7;76,5;9,8;;17,5
Iceland;IS;333;39,4;60,6;;;;;4,8
Ireland;IE;4.726;20,9;77,4;1,7;;;;6,8
Italy;IT;60.666;0,0;6,6;39,8;28,2;15,5;9,9;16,6
Latvia;LV;1.969;;45,0;36,4;18,7;;;10,9
Liechtenstein;LI;38;;12,2;87,8;;;;10,3
Lithuania;LT;2.889;;25,3;57,4;17,3;;;11,8
Luxembourg;LU;576;;14,2;85,8;;;;11,4
Malta;MT;450;;;100,0;;;;11,1
Monaco;MC;38;;;100,0;;;;14,3
Montenegro;ME;622;;9,3;13,2;25,4;36,9;15,1;20,3
Netherlands;NL;16.979;;0,8;99,2;;;;11,3
North Macedonia;MK;2.071;;0,5;2,6;2,2;9,8;84,9;34,6
Norway;NO;5.211;38,2;55,4;6,4;;;;5,9
Poland;PL;37.967;;0,0;15,5;29,5;37,6;17,4;20,6
Portugal (excl. Azores, Madeira);PT;9.839;0,2;88,4;11,3;;;;8,3
Romania;RO;19.760;;3,1;33,3;40,5;22,4;0,6;16,8
San Marino;SM;33;;1,9;69,8;28;;;14,3
Serbia (incl. Kosovo*);RS;8.848;;0,5;8,5;13,1;17,4;60,5;25,1
Slovakia;SK;5.426;;0,0;24,3;50,8;24,1;0,9;17,6
Slovenia;SI;2.064;;3,3;39,4;45,7;11,6;;16,0
Spain (excl. Canarias);ES;44.305;0,2;37,0;53,9;8,7;0,1;0,0;11,1
Sweden;SE;9.851;41,9;58,1;;;;;5,7
Switzerland;CH;8.327;1,3;33,7;64,5;0,6;;;10,1
United Kingdom (& Crown dep.);UK;65.383;1,9;51,1;47,0;;;;9,5
Total without Turkey;;537.790;2,2;22,5;48,6;13,6;7,8;5,4;13,4
EU-28;;505.806;1,9;22,7;50,2;14,0;7,6;3,6;13,1
Kosovo*;KS;1.772;;0,0;8,1;9,7;9,2;73,1;27,1
Serbia (excl. Kosovo*);RS;7.076;;0,6;8,7;13,9;19,4;57,5;24,6
