Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-50;>50;PM10 ann. Avg.
Albania;AL;2.877;0,2;6,5;24,8;37,6;28,1;3,0;34,3
Andorra;AD;73;0,2;13,3;86,5;;;;25,7
Austria;AT;8.773;4,3;64,8;30,9;;;;17,3
Belgium;BE;11.352;0,0;57,4;42,6;;;;19,5
Bosnia and Herzegovina;BA;3.510;0,0;16,0;41,6;30,1;5,2;7,1;29,6
Bulgaria;BG;7.102;0,0;4,8;40,2;44,2;7,7;3,1;32,3
Croatia;HR;4.154;0,0;19,8;69,1;11,1;0,0;;24,2
Cyprus;CY;1.201;;2,5;13,4;29,6;51,9;2,5;37,6
Czechia;CZ;10.579;0,0;22,5;69,3;8,0;0,1;;22,8
Denmark (incl. Faroe Islands);DK;5.749;0,4;98,8;0,8;;;;15,1
Estonia;EE;1.316;45,1;54,9;;;;;10,5
Finland;FI;5.503;73,6;26,4;;;;;8,6
France (metropolitan);FR;64.629;1,3;80,3;17,2;1,1;0,0;;17,2
Germany;DE;82.522;0,3;91,4;8,3;;;;16,9
Greece;GR;10.768;0,0;4,5;28,4;28,1;27,7;11,2;36,5
Hungary;HU;9.798;;1,6;93,0;5,4;;;26,4
Iceland;IS;338;26,9;72,8;0,3;;;;11,6
Ireland;IE;4.784;24,5;75,5;;;;;11,2
Italy;IT;60.589;0,3;21,0;50,6;22,3;5,7;;26,1
Latvia;LV;1.950;7,1;77,4;14,6;1,0;;;15,2
Liechtenstein;LI;38;1,7;98,3;;;;;12,8
Lithuania;LT;2.848;0,1;79,7;18,4;1,8;;;17,2
Luxembourg;LU;591;0,0;98;2,4;;;;16,4
Malta;MT;460;;0,9;89;10;;;25,9
Monaco;MC;38;;;100;;;;22,3
Montenegro;ME;622;0,7;16,6;51,0;28,5;3,1;;26,0
Netherlands;NL;17.082;;94,6;5,4;;;;18,2
North Macedonia;MK;2.074;0,0;1,6;7,7;36,3;21,5;32,9;47,3
Norway;NO;5.258;56,1;43,9;0,0;;;;9,6
Poland;PL;37.973;0,0;8,2;53,4;31,6;6,7;0,0;28,5
Portugal (excl. Azores, Madeira);PT;9.809;0,0;57,4;41,7;0,9;0,0;;19,7
Romania;RO;19.644;0,0;9,8;83,7;6,4;0,0;;24,9
San Marino;SM;33;;12,1;87,9;;;;22,0
Serbia (incl. Kosovo*);RS;8.824;0,0;3,9;18,2;40,7;36,3;0,8;36,7
Slovakia;SK;5.435;0,0;4,4;86,0;9,5;0,0;;25,2
Slovenia;SI;2.066;0,0;30,4;63,7;5,9;;;22,6
Spain (excl. Canarias);ES;44.373;0,4;38,8;54,7;5,5;0,3;0,2;21,8
Sweden;SE;9.995;45,1;54,9;0,0;;;;10,7
Switzerland;CH;8.420;5,8;91,6;2,6;;;;14,8
Turkey;TR;79.815;2,7;13,8;9,5;19,1;30,4;24,5;40,2
United Kingdom (& Crown dep.);UK;65.844;2,7;95,1;2,1;;;;14,6
Total;;618.808;3,1;49,7;27,8;9,9;6,1;3,4;23,1
Total without Turkey;;538.993;3,2;54,5;30,3;8,7;2,8;0,5;20,8
EU-28;;506.888;2,7;55,8;;7,8;2,0;0,3;20,4
Kosovo*;KS;1.784;0;4,7;16,2;33,7;45,3;0;37,2
Serbia (excl. Kosovo*);RS;7.040;0;3,7;18,7;42,5;34,1;1,0;36,6
