Country;ISO;Population [inhbs-1000];<10;10-20;20-30;30-40;40-45;>45;NO2 - ann. Avg.
Albania;AL;2.797;24,5;50,7;23,2;1,5;;;15,2
Andorra;AD;84;1,7;39,8;58,5;;;;20,0
Austria;AT;8.381;19,0;52,8;24,9;3,4;;;16,4
Belgium;BE;10.944;3,9;66,6;25,3;4,2;0,0;;18,5
Bosnia and Herzegovina;BA;3.802;27,9;56,7;14,8;0,7;;;14,3
Bulgaria;BG;7.363;13,5;52,6;25,9;8,1;;;18,6
Croatia;HR;4.288;29,6;51,2;18,1;1,0;;;14,2
Cyprus;CY;1.018;13,1;22,1;56,4;8,4;;;20,9
Czechia;CZ;10.423;20,9;64,8;13,1;1,2;;;14,2
Denmark (incl. Faroe Islands);DK;5.577;61,6;36,5;2,0;;;;9,0
Estonia;EE;1.291;68,2;31,8;;;;;7,5
Finland;FI;5.339;68,3;29,6;2,1;;;;8,2
France (metropolitan);FR;62.744;32,9;43,5;16,1;4,7;1,5;1,2;15,2
Germany;DE;80.174;9,9;61,0;24,2;4,1;0,6;0,1;17,5
Greece;GR;10.634;23,2;35,6;22,4;16,2;0,9;1,8;19,0
Hungary;HU;9.937;14,4;63,0;18,2;4,1;0,3;;16,6
Iceland;IS;318;27,7;66,7;5,6;;;;11,0
Ireland;IE;4.574;51,7;38,8;7,9;1,6;;;10,5
Italy;IT;59.409;12,1;41,6;33,3;9,8;2,2;1,0;20,0
Latvia;LV;2.080;51,8;45,8;2,4;;;;10,4
Liechtenstein;LI;34;1,6;97,3;0,2;0,9;;;16,5
Lithuania;LT;3.028;40,5;55,2;4,3;;;;11,0
Luxembourg;LU;511;8,5;57,8;26,3;7,3;;;18,4
Malta;MT;417;44,9;44,9;10,2;;;;11,5
Monaco;MC;33;;4,7;95,3;;;;23,9
Montenegro;ME;620;23,7;58,7;17,7;;;;14,9
Netherlands;NL;16.600;2,6;55,5;40,2;1,7;;;19,1
North Macedonia;MK;2.061;4,4;65,3;27,9;2,3;;;18,0
Norway;NO;4.906;59,3;32,5;7,6;0,5;;;9,6
Poland;PL;38.494;28,6;54,7;15,4;0,9;0,4;0,0;14,2
Portugal (excl. Azores, Madeira);PT;10.047;26,6;50,5;20,6;2,3;;;14,9
Romania;RO;20.138;14,4;43,9;29,7;10,3;0,9;0,9;19,5
San Marino;SM;32;5,1;90,2;0,1;4,5;;;15,8
Serbia (incl. Kosovo*);RS;8.896;13,9;50,8;33,8;1,5;0,0;;17,9
Slovakia;SK;5.399;19,3;74,7;5,5;0,5;;;13,5
Slovenia;SI;2.042;29,6;53,5;16,9;;;;14,3
Spain (excl. Canarias);ES;44.722;16,1;47,9;22,7;10,8;2,3;0,1;18,6
Sweden;SE;9.539;73,7;24,7;1,6;;;;8,0
Switzerland;CH;7.893;7,5;75,0;12,6;4,8;;;16,7
Turkey;TR;71.920;24,1;14,2;22,7;19,4;6,8;12,7;25,6
United Kingdom (& Crown dep.);UK;63.415;9,2;53,2;30,7;6,0;0,6;0,4;18,7
Total;;601.926;20,3;46,4;22,9;7,0;1,6;1,9;17,9
Total without Turkey;;530.007;19,8;50,8;22,9;5,3;0,9;0,4;16,8
EU-28;;498.253;19,6;50,5;23,1;5,5;0,9;0,4;16,9
Kosovo*;KS;1.748;13,6;51,5;33,8;1,0;;;17,5
Serbia (excl. Kosovo*);RS;7.148;13,9;50,7;33,8;1,6;0,0;;18,0
