Country;ISO;Population [inhbs-1000];<5;5-10;10-15;15-20;20-25;>25;PM2.5 - ann. Avg.
Albania;AL;2.797;0,0;2,8;25,4;42,7;26,3;2,8;17,5
Andorra;AD;84;0,5;22,3;77,2;;;;10,8
Austria;AT;8.381;1,6;24,7;68,8;4,9;;;11,3
Belgium;BE;10.944;;20,5;79,5;;;;11,0
Bosnia and Herzegovina;BA;3.802;0,0;5,7;18,9;21,3;18,1;36,0;21,6
Bulgaria;BG;7.363;0,0;2,8;20,3;46,4;23,2;7,3;18,0
Croatia;HR;4.288;0,0;9,2;47,2;35,4;6,4;1,8;14,6
Cyprus;CY;1.018;;0,1;68,6;23,3;8,0;;14,7
Czechia;CZ;10.423;0,0;7,00;67,6;21,3;4,1;;13,8
Denmark (incl. Faroe Islands);DK;5.577;0,8;71,4;27,8;;;;9,4
Estonia;EE;1.291;37,9;61,7;0,5;;;;5,5
Finland;FI;5.339;48,8;51,2;;;;;5,0
France (metropolitan);FR;62.744;0,7;59,5;39,0;0,8;;;9,5
Germany;DE;80.174;0,1;43,8;56,1;0,0;;;10,1
Greece;GR;10.634;;2,3;43,7;43,0;11,0;;15,7
Hungary;HU;9.937;;0,1;68,0;32,0;;;14,5
Iceland;IS;318;77,1;22,9;;;;;3,9
Ireland;IE;4.574;7,7;87,1;5,2;;;;7,7
Italy;IT;59.409;0,3;8,7;56,0;22,6;11,9;0,5;14,5
Latvia;LV;2.080;1,0;55,8;41,8;1,5;;;10,1
Liechtenstein;LI;34;0,4;99,6;;;;;8,1
Lithuania;LT;3.028;;22,6;66,2;11,2;;;12,1
Luxembourg;LU;511;;91,2;8,8;;;;8,1
Malta;MT;417;;;90,5;9,5;;;12,2
Monaco;MC;33;;;100,0;;;;12,9
Montenegro;ME;620;0,1;10,3;12,0;31,2;46,5;;18,4
Netherlands;NL;16.600;;16,9;83,1;;;;10,7
North Macedonia;MK;2.061;0,0;0,7;15,8;41,7;16,7;25,0;20,6
Norway;NO;4.906;39,7;60,3;;;;;5,4
Poland;PL;38.494;;0,4;25,0;51,5;16,9;6,2;17,6
Portugal (excl. Azores, Madeira);PT;10.047;5,7;79,8;14,4;;;;8,3
Romania;RO;20.138;0,0;5,7;45,1;43,4;5,7;0,2;15,1
San Marino;SM;32;;0,8;99,2;;;;13
Serbia (incl. Kosovo*);RS;8.896;0,0;1,4;7,3;28,1;49,0;14,2;20,6
Slovakia;SK;5.399;0,0;1,2;63,0;35,6;0,2;;14,5
Slovenia;SI;2.042;0,0;15,2;62,9;20,3;1,6;;13,1
Spain (excl. Canarias);ES;44.722;2,1;49,8;43,0;4,9;0,2;0,0;10,2
Sweden;SE;9.539;47,1;52,9;0,0;;;;5,4
Switzerland;CH;7.893;2,9;84,7;12,3;0,0;;;8,7
United Kingdom (& Crown dep.);UK;63.415;0,9;47,6;51,5;;;;9,7
Total without Turkey;;530.007;2,5;33,5;45,1;12,9;4,7;1,2;11,8
EU-28;;498.253;2,2;32,7;48,1;12,6;3,7;0,7;11,7
Kosovo*;KS;1.748;0,0;1,1;10,5;28,3;57,5;2,6;20,1
Serbia (excl. Kosovo*);RS;7.148;;1,5;6,5;28,1;46,9;17,0;20,8
